replication,method,asep,aaep
106,median,32.63027546020736,3.388250823990383
106,ar1,32.70099765879772,3.271315298494688
107,mean,31.677288020460324,3.4637332901004423
107,median,30.932833806561586,3.3813449084134866
107,ar1,30.527559769736555,3.2600624495282617
108,mean,31.47824786781009,3.4722937998413337
108,median,32.38993552821873,3.452541876772363
108,ar1,59.54585268586498,3.446236295875485
109,mean,35.56825590156636,3.550976148477999
109,median,35.50220739402035,3.50256472614326
109,ar1,35.74894832821546,3.415029497993437
110,mean,41.044535827939804,3.575691856077639
110,median,40.802032733666444,3.4923153717201223
110,ar1,44.093432259454076,3.454507317787775
111,mean,28.957474145584886,3.4346477668630655
111,median,29.95188252947408,3.3979470629940343
111,ar1,58.74026822210022,3.5459366842244564
112,mean,35.836493452968256,3.4657753634154007
112,median,35.97976912379939,3.41880312055789
112,ar1,35.042641516688114,3.3107352571528774
113,mean,38.02645016084849,3.637645080259227
113,median,39.39570047904643,3.621410999703848
113,ar1,35.74371597757736,3.4681594378683784
114,mean,49.47477958426365,3.5818898062542472
114,median,48.76759338794575,3.495344515019787
114,ar1,47.88313047937046,3.433051030453466
115,mean,37.73622150363649,3.696268212417543
115,median,37.636999634745365,3.6037079317391574
115,ar1,53.13589607452946,3.666584952931316
116,mean,30.418937785758157,3.424757529782418
116,median,30.398313603229116,3.325022067406947
116,ar1,28.110314643428055,3.2581839564337574
117,mean,34.25875511486952,3.5175632242652726
117,median,33.90465003723767,3.426547188749369
117,ar1,32.51174894346198,3.3289051118290622
118,mean,33.012495056510794,3.4052394754448243
118,median,32.73687087228211,3.3462827472311316
118,ar1,34.880157645171636,3.275090940616556
119,mean,56.655107470612414,3.7770770756153733
119,median,57.91522100917614,3.713115797082746
119,ar1,50.693532936143924,3.545088968477593
120,mean,37.232255811662675,3.4947458844971977
120,median,37.158820967794156,3.418543631950862
120,ar1,33.10328194998837,3.2763121457463145
121,mean,36.071721006348156,3.641712294867629
121,median,36.40137893085319,3.594648940121808
121,ar1,35.62718077047684,3.4984607020679155
122,mean,33.3296769022876,3.4157829879314785
122,median,33.420894024508634,3.378767994549938
122,ar1,31.599998550258338,3.265784838531038
123,mean,32.41441074180241,3.5143568937122884
123,median,31.774978846459064,3.41505503844819
123,ar1,32.33702263682455,3.3638293965506887
124,mean,42.65192555262053,3.780767596291412
124,median,42.28884208056935,3.7546610972120704
124,ar1,45.63260026174359,3.683662647889095
125,mean,35.897788233489024,3.5576493181263555
125,median,36.12357970699753,3.498993890906266
125,ar1,31.6702510125748,3.304186487827411
126,mean,31.346971190798147,3.506360907400643
126,median,30.58557588858542,3.4169578017665425
126,ar1,32.23012793610753,3.3859973832732635
127,mean,35.558560214907416,3.5104707928700853
127,median,36.3339493480381,3.484164257059047
127,ar1,33.5414880526261,3.275637913468707
128,mean,39.34953652475747,3.4812628058935173
128,median,39.46966356788673,3.44499562085025
128,ar1,58.427379966441116,3.5183218297282335
129,mean,54.96903253629911,3.7239686307369095
129,median,56.56636799511911,3.712416432744623
129,ar1,49.00249210086037,3.5025775562359125
130,mean,38.42256608491439,3.523796204403188
130,median,39.069147057823784,3.469259370010818
130,ar1,38.942760348450555,3.449449393143647
131,mean,32.78250316916863,3.587089073550493
131,median,33.4525553255608,3.5602681137692227
131,ar1,30.82475782550999,3.4079003945178306
132,mean,41.43831172561832,3.594144460202624
132,median,42.18966831453076,3.553813631318448
132,ar1,42.744239840923356,3.5059793724783987
133,mean,32.74224092670193,3.516904900885811
133,median,31.92305481402971,3.436638724568165
133,ar1,29.756938459555638,3.280834652131756
134,mean,49.25056626753196,3.730807613706287
134,median,49.80232903115341,3.681145430910397
134,ar1,47.13783792772701,3.5128332966846005
135,mean,36.32772582765603,3.53731976389522
135,median,36.1557130289017,3.468406567364121
135,ar1,36.44716079229849,3.3967482992859015
136,mean,36.24206450351857,3.453880586356091
136,median,36.479696465297785,3.419342003072619
136,ar1,36.6852838018043,3.296677918834834
137,mean,40.21892171179016,3.6543797108610683
137,median,40.14673683578904,3.5884046232512925
137,ar1,39.01292656504739,3.4700891262636775
138,mean,38.204877972151515,3.4173692530687823
138,median,38.408834340935144,3.3941538475743576
138,ar1,36.64148686055023,3.2315018207001365
139,mean,35.50320335184568,3.4249682870194627
139,median,35.1370561264509,3.3748791993563994
139,ar1,38.09781641470184,3.3244590774359977
140,mean,29.288817307649747,3.3888806749867344
140,median,28.907768785010344,3.3209132098949916
140,ar1,28.779798859025288,3.2272716955191405
141,mean,25.4201904939707,3.3156374928200294
141,median,25.07313776624241,3.2329379821745365
141,ar1,23.62514188928076,3.1043526094544873
142,mean,34.13462518492393,3.5538438629095963
142,median,33.67706852374515,3.483158855776029
142,ar1,30.987666278567247,3.3324199795528133
143,mean,40.828437217627645,3.6237645173608075
143,median,41.0386982316443,3.5737491162988664
143,ar1,39.49687268094511,3.4544152844933267
144,mean,40.91519343304192,3.665359145877529
144,median,40.4067869450242,3.616755240361169
144,ar1,39.46655021015585,3.4745183137343747
145,mean,41.02239003034424,3.6316798080394213
145,median,41.855514780778954,3.5810307112930775
145,ar1,57.208950200546035,3.6019105670174074
146,mean,53.04942513638449,3.745854297825922
146,median,53.39847163926237,3.6688419157884855
146,ar1,49.924186015163,3.5980782340570805
147,mean,39.703638029154725,3.5930712645088283
147,median,40.7612838458404,3.5881606707164155
147,ar1,35.19139128914464,3.420077014695635
148,mean,35.29810303116188,3.499229868863925
148,median,35.09825666644511,3.4446049069306985
148,ar1,47.35328776189385,3.3971513189768534
149,mean,37.67174616550241,3.4465276137118117
149,median,38.62637929552975,3.383929781874425
149,ar1,46.757718096777346,3.2873984523472024
150,mean,33.319954675255445,3.497978162470475
150,median,34.012446862169725,3.455662021787831
150,ar1,32.51177357576624,3.316367025943581
151,mean,35.74558014089588,3.546709033191035
151,median,34.165041714055825,3.4382383960075686
151,ar1,35.87887438838442,3.3857289280686036
152,mean,37.1790132190823,3.5061629259774896
152,median,37.981178408081306,3.4518722393162533
152,ar1,34.71246251684567,3.268868353085074
153,mean,40.27606635555802,3.48986955124562
