replication,method,asep
171,ar1,38.12786667157662
171,random_forest,33.04598853261564
172,naive,65.32084202961705
172,ar1,36.55817778182768
172,random_forest,30.746541147428434
173,naive,47.32524788675846
173,ar1,40.70700028749032
173,random_forest,37.48758840954518
174,naive,37.9215269398298
174,ar1,28.496444226644318
174,random_forest,29.482775050977683
175,naive,42.407280175363574
175,ar1,31.045490550426766
175,random_forest,31.61897728826413
176,naive,72.64661853283839
176,ar1,55.968260824585954
176,random_forest,50.17662323425802
177,naive,43.18784398078946
177,ar1,27.768331106282808
177,random_forest,25.529949018896552
178,naive,56.99914774218103
178,ar1,51.302194210194386
178,random_forest,44.98096409794398
179,naive,49.9211452206921
179,ar1,34.61722816801976
179,random_forest,32.296169513219574
180,naive,55.86291930016813
180,ar1,36.386187922753166
180,random_forest,32.01170157080463
181,naive,46.166007788630765
181,ar1,41.663464480951184
181,random_forest,41.099048599239744
182,naive,60.18435434610546
182,ar1,40.68044447570902
182,random_forest,36.86493952267074
183,naive,49.47694444803637
183,ar1,39.1379755491785
183,random_forest,32.157478289338506
184,naive,52.118206737575676
184,ar1,41.11309483870006
184,random_forest,36.59356100426897
185,naive,64.60184460249884
185,ar1,42.20670098053178
185,random_forest,38.284652972734364
186,naive,39.8541268178936
186,ar1,29.28870898971543
186,random_forest,25.646445783382088
187,naive,50.177017630696774
187,ar1,34.190931001308805
187,random_forest,35.88157633538375
188,naive,46.82041535096294
188,ar1,35.36809651011329
188,random_forest,33.336652497172416
189,naive,48.51659377579659
189,ar1,37.387485555300216
189,random_forest,33.9321076972316
190,naive,59.795189659851836
190,ar1,41.35196520560815
190,random_forest,37.58879971889911
191,naive,70.37003673086195
191,ar1,49.82280718360054
191,random_forest,32.23286428877446
192,naive,55.81848109961061
192,ar1,29.716581518937975
192,random_forest,30.957880680865024
193,naive,75.34058317750167
193,ar1,63.76025525357136
193,random_forest,48.97822605335718
194,naive,67.60248850782123
194,ar1,45.67397389534478
194,random_forest,40.29348840301217
195,naive,43.042086594592476
195,ar1,31.95550816622527
195,random_forest,30.910638035943983
196,naive,50.25769002137253
196,ar1,33.079741995736136
196,random_forest,29.914568304873615
197,naive,57.751901268718605
197,ar1,40.1264631273496
197,random_forest,35.91087485452942
198,naive,64.00903871771041
198,ar1,65.58439616846285
198,random_forest,42.46146232654174
199,naive,51.69342875927155
199,ar1,30.063489947619637
199,random_forest,29.40993006185145
