replication,method,asep
136,ar1,8.931643087276807
136,random_forest,10.33383080361641
137,naive,10.57632214763128
137,ar1,8.977344761705703
137,random_forest,10.15823879668952
138,naive,10.653605346018301
138,ar1,8.980527003339544
138,random_forest,10.392157680779817
139,naive,11.829026533045116
139,ar1,9.822215794285542
139,random_forest,10.806998041227363
140,naive,11.123727755016459
140,ar1,9.140596548650034
140,random_forest,10.251503252843307
141,naive,11.411962588435372
141,ar1,9.054418400333862
141,random_forest,10.093052469379746
142,naive,12.403189226542594
142,ar1,10.256591237378823
142,random_forest,11.186402693256479
143,naive,11.176994122938469
143,ar1,9.412608438886583
143,random_forest,9.97870431477523
144,naive,11.635009810666066
144,ar1,9.485124845461119
144,random_forest,10.102656295019946
145,naive,11.466104603305723
145,ar1,9.850269176541465
145,random_forest,10.145247209817699
146,naive,11.37746201697671
146,ar1,9.417929188302107
146,random_forest,9.924869354385311
147,naive,10.833872340713652
147,ar1,8.922803421377731
147,random_forest,9.88305365899015
148,naive,10.270440495460836
148,ar1,9.18156001532406
148,random_forest,10.029801481889365
149,naive,11.078249901872294
149,ar1,8.627912184857552
149,random_forest,9.725056883786712
150,naive,10.498197993116376
150,ar1,8.94847482340565
150,random_forest,9.994995909559275
151,naive,11.222096779953947
151,ar1,9.623339501220576
151,random_forest,10.734120240873219
152,naive,10.674192774696845
152,ar1,8.663859086163972
152,random_forest,9.22710778940953
153,naive,11.06415989990301
153,ar1,9.057326423967956
153,random_forest,9.967893414564097
154,naive,10.915454761350674
154,ar1,9.084192375130828
154,random_forest,10.030225292943546
155,naive,11.642787527599706
155,ar1,9.604289780488891
155,random_forest,10.929504251561585
156,naive,11.858901939510748
156,ar1,9.881151312561892
156,random_forest,10.614930821820915
157,naive,10.53390920225661
157,ar1,9.24752735589192
157,random_forest,9.492286866678901
158,naive,10.607549800044303
158,ar1,8.773202032568335
158,random_forest,10.075316201993154
159,naive,11.016396480424744
159,ar1,10.220117558820608
159,random_forest,10.955344084614811
160,naive,11.237993415032564
160,ar1,9.028633134297383
160,random_forest,10.60726067394003
161,naive,11.844041216942792
161,ar1,9.484614374443003
161,random_forest,10.037240455166488
162,naive,11.019898808346307
162,ar1,9.457359458265369
162,random_forest,10.282035499396914
163,naive,10.21370943644305
163,ar1,8.782725350971646
163,random_forest,9.865968067826252
164,naive,11.25574159436038
164,ar1,9.900549959550684
164,random_forest,10.610576101901806
165,naive,11.990265197468737
165,ar1,10.4852143708831
165,random_forest,11.659794120522545
166,naive,10.94576389607538
166,ar1,9.591214943192853
166,random_forest,9.789860021771293
167,naive,11.233923751754691
167,ar1,9.526239415432446
167,random_forest,9.866455100411414
168,naive,10.84548941847554
168,ar1,8.726471527566375
168,random_forest,9.649084231217742
169,naive,10.830789963570627
169,ar1,8.941956194108645
169,random_forest,9.905126665793144
170,naive,11.525663529199296
170,ar1,9.554024150782194
170,random_forest,10.484565070690344
171,naive,10.803452478797682
171,ar1,9.321240728859049
171,random_forest,9.938092611459526
172,naive,12.157715492814273
172,ar1,9.612091975671326
172,random_forest,10.654117030997181
173,naive,11.953496891443297
173,ar1,10.319947946256988
173,random_forest,11.654421413811615
174,naive,11.192127535265271
174,ar1,9.277302368378322
174,random_forest,10.15286873633391
175,naive,10.541839213026742
175,ar1,8.711177696379695
175,random_forest,9.515827570453384
176,naive,10.60857464778525
176,ar1,8.763924841843883
176,random_forest,9.442007588733333
177,naive,11.951272582843206
177,ar1,9.627484200492974
177,random_forest,10.50686708031501
178,naive,11.669554801936924
178,ar1,9.586631728994458
178,random_forest,10.189673105271144
179,naive,12.215970817831877
179,ar1,9.590535865290581
179,random_forest,10.598240247699783
180,naive,13.268178502375536
180,ar1,11.324222520498905
180,random_forest,11.627646354469354
181,naive,11.22200685120066
181,ar1,9.279855064942431
181,random_forest,10.098938720718923
182,naive,10.750050562664889
182,ar1,8.823386047989137
182,random_forest,9.700580019830777
183,naive,11.331520726207001
183,ar1,9.81276753134343
183,random_forest,10.931072261116892
184,naive,12.035530785788236
184,ar1,10.043191088984083
184,random_forest,10.961186161633847
185,naive,10.959270937377902
185,ar1,9.670278702851654
185,random_forest,10.38437716756058
186,naive,11.222740587310286
186,ar1,9.564426250281127
186,random_forest,10.483635807137667
187,naive,11.587375593905604
187,ar1,9.218445834824525
187,random_forest,10.303579324091269
188,naive,10.613734794794814
188,ar1,8.686860095329925
188,random_forest,9.484836646780401
189,naive,11.061618114957696
189,ar1,8.797702130660067
189,random_forest,9.63921740130929
190,naive,12.19065158436772
190,ar1,9.892286569532626
190,random_forest,11.219668184233523
