design,replication,method,asep
random_rows,85,ar1,34.89607463439857
random_rows,85,random_forest,32.557134770435
random_rows,86,naive,53.85667054971514
random_rows,86,ar1,34.38118607183725
random_rows,86,random_forest,33.28434419024785
random_rows,87,naive,51.81567177506247
random_rows,87,ar1,39.13817967581622
random_rows,87,random_forest,34.51518264125179
random_rows,88,naive,60.68715499440586
random_rows,88,ar1,45.661847719203415
random_rows,88,random_forest,39.41777979187677
random_rows,89,naive,57.16067643514262
random_rows,89,ar1,46.727721177085606
random_rows,89,random_forest,28.601440582433934
random_rows,90,naive,59.01952014233894
random_rows,90,ar1,42.30079735055171
random_rows,90,random_forest,41.530065302483045
random_rows,91,naive,56.491373796932464
random_rows,91,ar1,33.397963886193416
random_rows,91,random_forest,32.023940161520706
random_rows,92,naive,56.412155771962716
random_rows,92,ar1,41.10858847940368
random_rows,92,random_forest,35.16148422802321
random_rows,93,naive,81.95509085916956
random_rows,93,ar1,48.86826357890082
random_rows,93,random_forest,42.31293976085277
random_rows,94,naive,60.7862249705998
random_rows,94,ar1,41.43424118443607
random_rows,94,random_forest,34.520971906484895
random_rows,95,naive,37.50246008637639
random_rows,95,ar1,27.163188047705315
random_rows,95,random_forest,24.660868058005224
random_rows,96,naive,53.90735780320884
random_rows,96,ar1,40.96360819907175
random_rows,96,random_forest,35.166650915115255
random_rows,97,naive,51.22882418923633
random_rows,97,ar1,44.52703659496871
random_rows,97,random_forest,41.65596228527084
random_rows,98,naive,46.635859797459844
random_rows,98,ar1,30.709623464647983
random_rows,98,random_forest,26.79604923922643
random_rows,99,naive,50.50520778567175
random_rows,99,ar1,34.78823238770601
random_rows,99,random_forest,34.682395175954944
random_rows,100,naive,60.667328526991824
random_rows,100,ar1,50.69017668703773
random_rows,100,random_forest,25.542340852175226
random_rows,101,naive,47.34547302544095
random_rows,101,ar1,38.45724600144842
random_rows,101,random_forest,34.18928003775022
random_rows,102,naive,48.93436090360717
random_rows,102,ar1,30.184345620401203
random_rows,102,random_forest,35.517127200545936
random_rows,103,naive,65.91886948492274
random_rows,103,ar1,40.446456175626885
random_rows,103,random_forest,34.43816236932287
random_rows,104,naive,41.99691096751818
random_rows,104,ar1,27.793067604189808
random_rows,104,random_forest,24.56463990032962
random_rows,105,naive,61.3907699018976
random_rows,105,ar1,34.37586234361958
random_rows,105,random_forest,27.68322092728258
random_rows,106,naive,52.642547702216284
random_rows,106,ar1,32.70099765879772
random_rows,106,random_forest,26.48349372787552
random_rows,107,naive,49.86034661744739
random_rows,107,ar1,30.527559769736555
random_rows,107,random_forest,28.976862498678262
random_rows,108,naive,70.49475948973222
random_rows,108,ar1,59.54585268586498
random_rows,108,random_forest,31.49300345206013
random_rows,109,naive,45.39300278676274
